"","Median All - Observed","Median White - Observed","Median Black - Observed","Median All - Simulated Post-Tax","Median White - Simulated Post-Tax","Median Black - Simulated Post-Tax","Median All - Simulated Post-Tax & Transfer","Median White - Simulated Post-Tax & Transfer","Median Black - Simulated Post-Tax & Transfer"
"1989","$93,600","$143,563","$8,552","$93,600","$143,563","$8,552","$95,848","$143,701.9","$30,000"
"1992","$88,849","$124,603","$17,698","$88,670","$124,603","$17,913","$92,514","$126,741.6","$32,894"
"1995","$96,486","$128,203","$18,229","$96,403","$128,170","$18,362","$104,571","$132,363.6","$34,508"
"1998","$112,769","$149,541","$24,378","$112,596","$149,101","$24,378","$118,903","$153,353.7","$39,163"
"2001","$125,273","$175,474","$27,614","$124,926","$175,041","$27,657","$132,918","$184,861.7","$43,616"
"2004","$126,214","$185,390","$27,792","$125,929","$184,590","$27,683","$137,332","$193,184.8","$45,687"
"2007","$149,364","$201,481","$21,108","$148,105","$201,210","$21,108","$159,239","$210,707.7","$42,521"
"2010","$90,725","$145,372","$18,345","$90,136","$143,546","$18,345","$103,368","$153,349.1","$39,923"
"2013","$89,391","$147,407","$12,113","$88,842","$146,386","$12,080","$99,384","$156,763.8","$29,956"
"2016","$103,475","$173,118","$17,336","$102,847","$171,607","$17,336","$111,037","$180,562.7","$39,724"
"2019","$121,760","$181,440","$20,730","$120,190","$180,380","$20,730","$128,799","$188,400.0","$43,800"
