"","Median All - Observed","Median White - Observed","Median Black - Observed","Median All - Simulated Post-Tax","Median White - Simulated Post-Tax","Median Black - Simulated Post-Tax","Median All - Simulated Post-Tax & Transfer","Median White - Simulated Post-Tax & Transfer","Median Black - Simulated Post-Tax & Transfer"
"1989","$93,600","$143,563","$8,552","$93,600","$143,563","$8,552","$99,686","$143,901","$44,035"
"1992","$88,849","$124,603","$17,698","$88,670","$124,603","$17,913","$99,107","$130,503","$51,523"
"1995","$96,486","$128,203","$18,229","$96,403","$128,170","$18,362","$112,994","$142,512","$58,303"
"1998","$112,769","$149,541","$24,378","$112,596","$149,101","$24,378","$130,636","$158,182","$67,493"
"2001","$125,273","$175,474","$27,614","$124,926","$175,041","$27,657","$146,445","$194,683","$71,681"
"2004","$126,214","$185,390","$27,792","$125,929","$184,590","$27,683","$155,904","$205,250","$72,963"
"2007","$149,364","$201,481","$21,108","$148,105","$201,210","$21,108","$176,859","$228,489","$83,265"
"2010","$90,725","$145,372","$18,345","$90,136","$143,546","$18,345","$131,840","$174,145","$72,451"
"2013","$89,391","$147,407","$12,113","$88,842","$146,386","$12,080","$130,607","$178,892","$39,589"
"2016","$103,475","$173,118","$17,336","$102,847","$171,607","$17,336","$141,416","$200,084","$50,009"
"2019","$121,760","$181,440","$20,730","$120,190","$180,380","$20,730","$161,100","$215,600","$60,800"
