"","Median All - Observed","Median White - Observed","Median Black - Observed","Median All - Simulated Post-Tax","Median White - Simulated Post-Tax","Median Black - Simulated Post-Tax","Median All - Simulated Post-Tax & Transfer","Median White - Simulated Post-Tax & Transfer","Median Black - Simulated Post-Tax & Transfer"
"1989","$93,600","$143,563","$8,552","$93,600","$143,563","$8,552","$95,271","$143,583","$15,716"
"1992","$88,849","$124,603","$17,698","$88,670","$124,603","$17,913","$90,190","$125,175","$22,775"
"1995","$96,486","$128,203","$18,229","$96,403","$128,170","$18,362","$99,825","$129,706","$23,761"
"1998","$112,769","$149,541","$24,378","$112,596","$149,101","$24,378","$114,739","$152,129","$31,865"
"2001","$125,273","$175,474","$27,614","$124,926","$175,041","$27,657","$128,970","$181,251","$33,968"
"2004","$126,214","$185,390","$27,792","$125,929","$184,590","$27,683","$130,982","$188,453","$34,875"
"2007","$149,364","$201,481","$21,108","$148,105","$201,210","$21,108","$151,867","$205,159","$32,059"
"2010","$90,725","$145,372","$18,345","$90,136","$143,546","$18,345","$95,871","$149,048","$26,448"
"2013","$89,391","$147,407","$12,113","$88,842","$146,386","$12,080","$94,003","$151,899","$19,899"
"2016","$103,475","$173,118","$17,336","$102,847","$171,607","$17,336","$107,398","$177,765","$24,652"
"2019","$121,760","$181,440","$20,730","$120,190","$180,380","$20,730","$124,500","$185,850","$30,494"
